Time [s],Temp [C],RH [%],h_t_w,h_m_w
529200.0,265.95,0.82,11.297,3.1994766e-08
532800.0,266.45,0.81,11.264,3.1793959e-08
536400.0,266.34999999999997,0.82,11.429,3.2945032e-08
540000.0,266.34999999999997,0.82,11.627,3.4258068e-08
543600.0,265.75,0.83,11.528,3.3596564e-08
547200.0,266.15,0.84,11.363,3.2434968e-08
550800.0,267.84999999999997,0.82,11.858,3.5779891e-08
554400.0,267.15,0.83,12.287,3.8843758e-08
558000.0,268.25,0.81,13.24,4.5145089e-08
561600.0,269.25,0.8,11.48,3.3467256e-08
565200.0,269.84999999999997,0.79,11.132,3.1222193e-08
568800.0,269.15,0.81,12.12,3.7949956e-08
572400.0,272.25,0.71,11.264,3.2102317e-08
576000.0,270.75,0.74,11.726,3.5542485e-08
579600.0,269.45,0.78,12.386,3.9853109e-08
583200.0,268.54999999999995,0.81,11.99,3.702776e-08
586800.0,267.75,0.82,11.891,3.6262005e-08
590400.0,266.45,0.86,11.396,3.2853247e-08
594000.0,265.15,0.87,11.165,3.118048e-08
597600.0,265.04999999999995,0.88,11.231,3.1497059e-08
601200.0,265.25,0.88,11.858,3.5660513e-08
604800.0,266.04999999999995,0.86,11.693,3.4583387e-08
608400.0,265.04999999999995,0.86,11.825,3.5548741e-08
612000.0,265.95,0.83,11.924,3.6099777e-08
615600.0,265.34999999999997,0.83,12.419,3.9502194e-08
619200.0,264.65,0.84,12.188,3.7891422e-08
622800.0,264.34999999999997,0.86,12.386,3.9126935e-08
626400.0,263.95,0.86,11.462,3.295451e-08
630000.0,264.45,0.85,11.891,3.5759935e-08
633600.0,262.65,0.86,11.627,3.4060729e-08
637200.0,262.45,0.84,11.561,3.3437473e-08
640800.0,263.25,0.83,11.96,3.6051457e-08
644400.0,263.54999999999995,0.8,11.66,3.4154386e-08
648000.0,265.25,0.71,11.297,3.1780857e-08
651600.0,265.45,0.68,11.693,3.4583387e-08
655200.0,265.25,0.68,11.924,3.6143735e-08
658800.0,263.95,0.73,11.66,3.436362e-08
662400.0,263.45,0.72,12.92,4.2585565e-08
666000.0,262.45,0.7,11.627,3.3956759e-08
669600.0,262.34999999999997,0.71,11.33,3.1891673e-08
673200.0,261.15,0.75,11.429,3.2535347e-08
676800.0,260.75,0.77,11.462,3.2632233e-08
680400.0,260.34999999999997,0.77,12.28,3.796476e-08
684000.0,260.34999999999997,0.78,11.0,2.9520749e-08
687600.0,260.04999999999995,0.79,11.32,3.1620001e-08
691200.0,260.54999999999995,0.79,12.44,3.8931152e-08
694800.0,260.34999999999997,0.82,12.28,3.7941263e-08
698400.0,260.54999999999995,0.84,11.64,3.3719253e-08
702000.0,260.45,0.85,12.28,3.7941263e-08
705600.0,260.15,0.87,11.0,2.9529897e-08
709200.0,260.54999999999995,0.88,11.165,3.0584204e-08
712800.0,260.45,0.87,11.099,3.0188904e-08
716400.0,260.54999999999995,0.84,11.64,3.3729705e-08
720000.0,261.25,0.85,11.264,3.1272002e-08
723600.0,260.84999999999997,0.82,11.132,3.0471423e-08
727200.0,261.25,0.82,11.066,3.000013e-08
730800.0,263.25,0.81,11.264,3.1339781e-08
734400.0,264.15,0.8,11.0,2.97858e-08
738000.0,265.75,0.79,11.96,3.6239776e-08
741600.0,265.04999999999995,0.78,11.48,3.3215329e-08
745200.0,264.65,0.81,12.28,3.846916e-08
748800.0,263.95,0.81,12.76,4.1613085e-08
752400.0,263.15,0.83,11.48,3.3033665e-08
756000.0,262.84999999999997,0.84,11.165,3.0868481e-08
759600.0,262.54999999999995,0.84,11.198,3.1058242e-08
763200.0,262.84999999999997,0.86,11.198,3.1029636e-08
766800.0,262.95,0.85,11.198,3.1058242e-08
770400.0,263.04999999999995,0.86,11.594,3.3686518e-08
774000.0,262.75,0.86,11.264,3.1513903e-08
777600.0,262.54999999999995,0.86,11.396,3.2357274e-08
781200.0,262.54999999999995,0.86,11.0,2.9721873e-08
784800.0,263.04999999999995,0.87,11.16,3.0778651e-08
788400.0,263.45,0.87,11.693,3.4351739e-08
792000.0,263.75,0.87,11.429,3.2645382e-08
795600.0,264.34999999999997,0.87,12.28,3.8316831e-08
799200.0,264.54999999999995,0.87,12.76,4.1575017e-08
802800.0,264.95,0.87,11.132,3.0781635e-08
806400.0,265.45,0.87,11.528,3.3453986e-08
